fips,pop,state,county
1,5024803,Alabama,
2,732441,Alaska,
4,7177986,Arizona,
5,3012232,Arkansas,
6,39499738,California,
8,5784308,Colorado,
9,3600260,Connecticut,
10,991886,Delaware,
11,690093,District of Columbia,
12,21569932,Florida,
13,10725800,Georgia,
15,1451911,Hawaii,
16,1847772,Idaho,
17,12785245,Illinois,
18,6785644,Indiana,
19,3188669,Iowa,
20,2935880,Kansas,
21,4503958,Kentucky,
22,4651203,Louisiana,
23,1362280,Maine,
24,6172679,Maryland,
25,7022220,Massachusetts,
26,10067664,Michigan,
27,5707165,Minnesota,
28,2956870,Mississippi,
29,6154481,Missouri,
30,1086193,Montana,
31,1961455,Nebraska,
32,3114071,Nevada,
33,1377848,New Hampshire,
34,9279743,New Jersey,
35,2117566,New Mexico,
36,20154933,New York,
37,10457177,North Carolina,
38,778962,North Dakota,
39,11790587,Ohio,
40,3962031,Oklahoma,
41,4241544,Oregon,
42,12989625,Pennsylvania,
44,1096229,Rhode Island,
45,5130729,South Carolina,
46,887099,South Dakota,
47,6920119,Tennessee,
48,29217653,Texas,
49,3281684,Utah,
50,642495,Vermont,
51,8632044,Virginia,
53,7718785,Washington,
54,1789798,West Virginia,
55,5892323,Wisconsin,
56,577267,Wyoming,
60,49710,American Samoa,
66,153836,Guam,
69,47329,Northern Mariana Islands,
72,3281538,Puerto Rico,
78,87146,Virgin Islands,
1001,58877,Alabama,Autauga
1003,233140,Alabama,Baldwin
1005,25180,Alabama,Barbour
1007,22223,Alabama,Bibb
1009,59081,Alabama,Blount
1011,10309,Alabama,Bullock
1013,19045,Alabama,Butler
1015,116266,Alabama,Calhoun
1017,34678,Alabama,Chambers
1019,24958,Alabama,Cherokee
1021,45024,Alabama,Chilton
1023,12619,Alabama,Choctaw
1025,22995,Alabama,Clarke
1027,14193,Alabama,Clay
1029,15035,Alabama,Cleburne
1031,53565,Alabama,Coffee
1033,57236,Alabama,Colbert
1035,11552,Alabama,Conecuh
1037,10383,Alabama,Coosa
1039,37469,Alabama,Covington
1041,13157,Alabama,Crenshaw
1043,88044,Alabama,Cullman
1045,49214,Alabama,Dale
1047,38190,Alabama,Dallas
1049,71630,Alabama,DeKalb
1051,88116,Alabama,Elmore
1053,36665,Alabama,Escambia
1055,103393,Alabama,Etowah
1057,16307,Alabama,Fayette
1059,32063,Alabama,Franklin
1061,26675,Alabama,Geneva
1063,7704,Alabama,Greene
1065,14792,Alabama,Hale
1067,17167,Alabama,Henry
1069,107190,Alabama,Houston
1071,52519,Alabama,Jackson
1073,673341,Alabama,Jefferson
1075,13943,Alabama,Lamar
1077,93610,Alabama,Lauderdale
1079,33063,Alabama,Lawrence
1081,174601,Alabama,Lee
1083,104322,Alabama,Limestone
1085,10297,Alabama,Lowndes
1087,19476,Alabama,Macon
1089,389696,Alabama,Madison
1091,19264,Alabama,Marengo
1093,29287,Alabama,Marion
1095,97608,Alabama,Marshall
1097,414250,Alabama,Mobile
1099,19723,Alabama,Monroe
1101,228448,Alabama,Montgomery
1103,123336,Alabama,Morgan
1105,8452,Alabama,Perry
1107,19062,Alabama,Pickens
1109,32981,Alabama,Pike
1111,21971,Alabama,Randolph
1113,59226,Alabama,Russell
1115,91333,Alabama,St. Clair
1117,223708,Alabama,Shelby
1119,12295,Alabama,Sumter
1121,82069,Alabama,Talladega
1123,41229,Alabama,Tallapoosa
1125,227153,Alabama,Tuscaloosa
1127,65100,Alabama,Walker
1129,15296,Alabama,Washington
1131,10518,Alabama,Wilcox
1133,23491,Alabama,Winston
1999,,Alabama,Unknown
2013,3418,Alaska,Aleutians East Borough
2016,5206,Alaska,Aleutians West Census Area
2020,290637,Alaska,Anchorage Municipality
2050,18648,Alaska,Bethel Census Area
2063,7073,Alaska,Chugach Census Area
2066,2616,Alaska,Copper River Census Area
2068,1611,Alaska,Denali Borough
2070,4839,Alaska,Dillingham Census Area
2090,95286,Alaska,Fairbanks North Star Borough
2100,2085,Alaska,Haines Borough
2110,32195,Alaska,Juneau City and Borough
2122,58893,Alaska,Kenai Peninsula Borough
2130,13902,Alaska,Ketchikan Gateway Borough
2150,13023,Alaska,Kodiak Island Borough
2158,8357,Alaska,Kusilvak Census Area
2170,107460,Alaska,Matanuska-Susitna Borough
2180,10032,Alaska,Nome Census Area
2185,10993,Alaska,North Slope Borough
2188,7784,Alaska,Northwest Arctic Borough
2195,3401,Alaska,Petersburg Borough
2198,5725,Alaska,Prince of Wales-Hyder Census Area
2220,8428,Alaska,Sitka City and Borough
2230,1239,Alaska,Skagway Municipality
2240,6831,Alaska,Southeast Fairbanks Census Area
2275,2130,Alaska,Wrangell City and Borough
2290,5300,Alaska,Yukon-Koyukuk Census Area
2997,2285,Alaska,Bristol Bay plus Lake and Peninsula
2998,3044,Alaska,Yakutat plus Hoonah-Angoon
2999,,Alaska,Unknown
4001,65897,Arizona,Apache
4003,125398,Arizona,Cochise
4005,145116,Arizona,Coconino
4007,53306,Arizona,Gila
4009,38614,Arizona,Graham
4011,9522,Arizona,Greenlee
4012,16580,Arizona,La Paz
4013,4438342,Arizona,Maricopa
4015,214070,Arizona,Mohave
4017,106802,Arizona,Navajo
4019,1045599,Arizona,Pima
4021,429583,Arizona,Pinal
4023,47653,Arizona,Santa Cruz
4025,237067,Arizona,Yavapai
4027,204437,Arizona,Yuma
